[2026-03-04 08:45:54] [FILE_UPLOAD_SUCCESS] IP: 103.129.26.180 | Event: FILE_UPLOAD_SUCCESS | Details: file_surat_tahfidz: 56a59391f790c60b0c791fe9d2c937cc_1772588754.pdf
[2026-03-04 08:45:54] [FILE_UPLOAD_SUCCESS] IP: 103.129.26.180 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_tahfidz: 6b8c01ade60893c3fcda9ba6649c9f29_1772588754.pdf
[2026-03-04 08:45:54] [FILE_UPLOAD_SUCCESS] IP: 103.129.26.180 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 4c92654f0d1ae52c75845b5d67a5a768_1772588754.pdf
[2026-03-04 08:45:54] [FILE_UPLOAD_SUCCESS] IP: 103.129.26.180 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 8651a05abf01082abc905495d1ab93d9_1772588754.pdf
[2026-03-04 08:51:02] [INVALID_FILE_UPLOAD] IP: 2001:448a:8090:4b21:3ca3:5ace:b822:6914 | Event: INVALID_FILE_UPLOAD | Details: foto_siswa: Invalid file type. Allowed: image/jpeg, image/png, image/jpg, image/pjpeg, image/webp (Type: application/pdf)
[2026-03-04 08:51:02] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8090:4b21:3ca3:5ace:b822:6914 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: a070605de6df36dbfa33872c652d3d82_1772589062.pdf
[2026-03-04 08:51:02] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8090:4b21:3ca3:5ace:b822:6914 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 27236bd11519e595d9c1e1f57e5d5bb5_1772589062.pdf
[2026-03-04 08:51:02] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8090:4b21:3ca3:5ace:b822:6914 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: e421569ef1650210ca9ebe3a705c3a1e_1772589062.pdf
[2026-03-04 08:51:02] [INVALID_FILE_UPLOAD] IP: 2001:448a:8090:4b21:3ca3:5ace:b822:6914 | Event: INVALID_FILE_UPLOAD | Details: file_nisn: Invalid file type. Allowed: application/pdf (Type: image/png)
[2026-03-04 08:57:08] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:1082:3bca:c0b7:5cb8:51a6:8111 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: b14bb1a8dd14e997dbc513fb48e53bde_1772589428.jpeg
[2026-03-04 08:57:08] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:1082:3bca:c0b7:5cb8:51a6:8111 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: b7b8c167b4c3c66272edfa4ee8d918a9_1772589428.pdf
[2026-03-04 08:57:08] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:1082:3bca:c0b7:5cb8:51a6:8111 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: c5f3a1cf7805df95bb830acb8d943e5d_1772589428.pdf
[2026-03-04 08:57:08] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:1082:3bca:c0b7:5cb8:51a6:8111 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_prestasi: 58c5dd59c61c8bd24025e2a90423d383_1772589428.pdf
[2026-03-04 08:57:08] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:1082:3bca:c0b7:5cb8:51a6:8111 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 10a7d0b078eb8de6fd8e67ff76f8e8a8_1772589428.pdf
[2026-03-04 08:57:08] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:1082:3bca:c0b7:5cb8:51a6:8111 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: a31fcd577bace9e447b2e65047274fd1_1772589428.pdf
[2026-03-04 08:58:26] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1020::4:1e3 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: f99deb1bfba4a4c2ca4f51e55108197d_1772589506.jpg
[2026-03-04 08:58:26] [INVALID_FILE_UPLOAD] IP: 2404:c0:1020::4:1e3 | Event: INVALID_FILE_UPLOAD | Details: file_nilai_rata: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 08:58:26] [INVALID_FILE_UPLOAD] IP: 2404:c0:1020::4:1e3 | Event: INVALID_FILE_UPLOAD | Details: file_ranking: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 08:58:26] [INVALID_FILE_UPLOAD] IP: 2404:c0:1020::4:1e3 | Event: INVALID_FILE_UPLOAD | Details: file_akta: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 08:58:26] [INVALID_FILE_UPLOAD] IP: 2404:c0:1020::4:1e3 | Event: INVALID_FILE_UPLOAD | Details: file_nisn: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
